SchoolId,SchoolName,ClusterName,BlockName,DistrictName,Attendance,TotalStudents
24071200105,"Khadiya-14","Amraiwadi","Amc","Ahmedabad","62.5 %","54"
24071200103,"Khadiya-10","Amraiwadi","Amc","Ahmedabad","63.8 %","127"
24071200104,"Khadiya-12","Amraiwadi","Amc","Ahmedabad","75.1 %","71"
24071200507,"Raikhad-10","Amraiwadi","Amc","Ahmedabad","80.1 %","121"
24071200538,"Government Girls School Raikhad","Amraiwadi","Amc","Ahmedabad","81.9 %","160"
24071200101,"Khadiya-2","Amraiwadi","Amc","Ahmedabad","81.7 %","146"
24071200509,"Baherampura-5","Amraiwadi","Amc","Ahmedabad","87.4 %","263"
24071200114,"Madhavbag Guj-1","Amraiwadi","Amc","Ahmedabad","89.1 %","156"
24071200506,"Raikhad-8","Amraiwadi","Amc","Ahmedabad","90.1 %","156"
24071200503,"Raikhad-4","Amraiwadi","Amc","Ahmedabad","91.2 %","259"
